class;order;list;iucn_category;exp;obt
Insecta;Thysanoptera;ICMBIO;EN;16;0
Insecta;Thysanoptera;ICMBIO;CR;12;0
Insecta;Thysanoptera;IUCN;DD;165;0
Insecta;Thysanoptera;IUCN;LC;406;0
Insecta;Thysanoptera;IUCN;NT;7;0
Insecta;Thysanoptera;IUCN;VU;15;0
Insecta;Thysanoptera;IUCN;EN;11;0
Insecta;Thysanoptera;IUCN;CR;10;0
Insecta;Thysanoptera;MMA;DD;51;0
Insecta;Thysanoptera;MMA;LC;520;0
Insecta;Thysanoptera;MMA;NT;10;0
Insecta;Thysanoptera;MMA;VU;11;0
Insecta;Thysanoptera;MMA;EN;13;0
Insecta;Thysanoptera;MMA;CR;9;0
Insecta;Trichoptera;ICMBIO;DD;168;0
Insecta;Trichoptera;ICMBIO;LC;629;0
Insecta;Trichoptera;ICMBIO;NT;9;0
Insecta;Trichoptera;ICMBIO;VU;25;0
Insecta;Trichoptera;ICMBIO;EN;22;0
Insecta;Trichoptera;ICMBIO;CR;17;0
Insecta;Trichoptera;IUCN;DD;234;0
Insecta;Trichoptera;IUCN;LC;578;0
Insecta;Trichoptera;IUCN;NT;10;0
Insecta;Trichoptera;IUCN;VU;21;0
Insecta;Trichoptera;IUCN;EN;16;0
Insecta;Trichoptera;IUCN;CR;14;0
Insecta;Trichoptera;MMA;DD;73;0
Insecta;Trichoptera;MMA;LC;739;0
Insecta;Trichoptera;MMA;NT;14;0
Insecta;Trichoptera;MMA;VU;16;0
Insecta;Trichoptera;MMA;EN;18;0
Insecta;Trichoptera;MMA;CR;12;0
Insecta;Zoraptera;ICMBIO;DD;1;0
Insecta;Zoraptera;ICMBIO;LC;4;0
Insecta;Zoraptera;ICMBIO;NT;0;0
Insecta;Zoraptera;ICMBIO;VU;0;0
Insecta;Zoraptera;ICMBIO;EN;0;0
Insecta;Zoraptera;ICMBIO;CR;0;0
Insecta;Zoraptera;IUCN;DD;2;0
Insecta;Zoraptera;IUCN;LC;4;0
Insecta;Zoraptera;IUCN;NT;0;0
Insecta;Zoraptera;IUCN;VU;0;0
Insecta;Zoraptera;IUCN;EN;0;0
Insecta;Zoraptera;IUCN;CR;0;0
Insecta;Zoraptera;MMA;DD;1;0
Insecta;Zoraptera;MMA;LC;5;0
Insecta;Zoraptera;MMA;NT;0;0
Insecta;Zoraptera;MMA;VU;0;0
Insecta;Zoraptera;MMA;EN;0;0
Insecta;Zoraptera;MMA;CR;0;0
Amphibia;Anura;ICMBIO;DD;196;152
Amphibia;Anura;ICMBIO;LC;874;720
Amphibia;Anura;ICMBIO;NT;26;22
Amphibia;Anura;ICMBIO;VU;13;11
Amphibia;Anura;ICMBIO;EN;14;11
